county_name,pop_year0,pop0,pop_year1,pop1,pop_annual_pct
"Adams County, Colorado",2020,520411,2025,554668,1.2832
"Alamosa County, Colorado",2020,16377,2025,16688,0.3769
"Arapahoe County, Colorado",2020,655269,2025,673820,0.5599
"Archuleta County, Colorado",2020,13426,2025,14306,1.2778
"Baca County, Colorado",2020,3478,2025,3347,-0.7649
"Bent County, Colorado",2020,5472,2025,5716,0.8763
"Boulder County, Colorado",2020,330982,2025,328560,-0.1468
"Broomfield County, Colorado",2020,74482,2025,79174,1.2293
"Chaffee County, Colorado",2020,19486,2025,20831,1.3439
"Cheyenne County, Colorado",2020,1746,2025,1713,-0.3809
"Clear Creek County, Colorado",2020,9358,2025,8994,-0.7903
"Conejos County, Colorado",2020,7457,2025,7529,0.1924
"Costilla County, Colorado",2020,3499,2025,3679,1.0083
"Crowley County, Colorado",2020,5707,2025,5677,-0.1054
"Custer County, Colorado",2020,4724,2025,5590,3.4238
"Delta County, Colorado",2020,31062,2025,32178,0.7085
"Denver County, Colorado",2020,717680,2025,740613,0.6311
"Dolores County, Colorado",2020,2331,2025,2466,1.1324
"Douglas County, Colorado",2020,360315,2025,399396,2.0808
"Eagle County, Colorado",2020,55657,2025,54291,-0.4958
"El Paso County, Colorado",2020,733721,2025,757040,0.6277
"Elbert County, Colorado",2020,26211,2025,30534,3.1003
"Fremont County, Colorado",2020,48880,2025,50039,0.4698
"Garfield County, Colorado",2020,61793,2025,63474,0.5382
"Gilpin County, Colorado",2020,5817,2025,6073,0.8651
"Grand County, Colorado",2020,15748,2025,16496,0.9324
"Gunnison County, Colorado",2020,16950,2025,17439,0.5704
"Hinsdale County, Colorado",2020,789,2025,753,-0.9297
"Huerfano County, Colorado",2020,6824,2025,7011,0.5422
"Jackson County, Colorado",2020,1379,2025,1211,-2.5648
"Jefferson County, Colorado",2020,583131,2025,580451,-0.0921
"Kiowa County, Colorado",2020,1453,2025,1412,-0.5708
"Kit Carson County, Colorado",2020,7062,2025,7069,0.0198
"La Plata County, Colorado",2020,55679,2025,56898,0.4341
"Lake County, Colorado",2020,7409,2025,7552,0.3831
"Larimer County, Colorado",2020,359942,2025,377292,0.9460
"Las Animas County, Colorado",2020,14491,2025,14391,-0.1384
"Lincoln County, Colorado",2020,5666,2025,5645,-0.0742
"Logan County, Colorado",2020,21221,2025,20654,-0.5402
"Mesa County, Colorado",2020,156007,2025,162845,0.8617
"Mineral County, Colorado",2020,870,2025,910,0.9031
"Moffat County, Colorado",2020,13267,2025,13122,-0.2195
"Montezuma County, Colorado",2020,25890,2025,26678,0.6015
"Montrose County, Colorado",2020,42825,2025,44591,0.8115
"Morgan County, Colorado",2020,29080,2025,30306,0.8293
"Otero County, Colorado",2020,18659,2025,17683,-1.0687
"Ouray County, Colorado",2020,4879,2025,5265,1.5345
"Park County, Colorado",2020,17425,2025,18314,1.0002
"Phillips County, Colorado",2020,4528,2025,4420,-0.4816
"Pitkin County, Colorado",2020,17363,2025,16625,-0.8649
"Prowers County, Colorado",2020,12012,2025,11884,-0.2140
"Pueblo County, Colorado",2020,168334,2025,169277,0.1118
"Rio Blanco County, Colorado",2020,6522,2025,6683,0.4889
"Rio Grande County, Colorado",2020,11538,2025,11087,-0.7943
"Routt County, Colorado",2020,24837,2025,25329,0.3931
"Saguache County, Colorado",2020,6396,2025,6732,1.0293
"San Juan County, Colorado",2020,710,2025,813,2.7464
"San Miguel County, Colorado",2020,8053,2025,7753,-0.7564
"Sedgwick County, Colorado",2020,2391,2025,2247,-1.2346
"Summit County, Colorado",2020,31237,2025,31517,0.1786
"Teller County, Colorado",2020,24746,2025,24756,0.0081
"Washington County, Colorado",2020,4810,2025,4732,-0.3264
"Weld County, Colorado",2020,331434,2025,378426,2.6873
"Yuma County, Colorado",2020,9975,2025,9896,-0.1589
