county_fips,origin_state,origin_county,returns,exemptions,agi
08001,CO,Denver County,5537,9295,363153
08001,CO,Jefferson County,3851,6174,236648
08001,CO,Arapahoe County,3322,5902,185069
08001,CO,Weld County,1167,2095,74041
08001,CO,Broomfield County,1143,1841,89538
08003,CO,Rio Grande County,79,144,3098
08003,CO,Conejos County,44,79,1441
08003,CO,El Paso County,24,43,1092
08003,CO,Denver County,22,39,997
08003,CO,Pueblo County,20,36,857
08005,CO,Denver County,9834,15583,887299
08005,CO,Adams County,2703,4805,131582
08005,CO,Douglas County,2967,4722,247683
08005,CO,Jefferson County,2565,3717,162951
08005,CO,El Paso County,735,1070,40014
08007,CO,La Plata County,46,80,1962
08007,CO,Jefferson County,23,34,2097
08013,CO,Weld County,899,1589,73951
08013,CO,Denver County,1083,1422,117398
08013,CO,Jefferson County,839,1170,76457
08013,CO,Adams County,751,1135,51003
08013,CO,Larimer County,739,985,57749
08014,CO,Adams County,966,1644,76905
08014,CO,Boulder County,990,1501,88322
08014,CO,Jefferson County,667,990,47886
08014,CO,Denver County,490,676,40187
08014,CO,Arapahoe County,210,340,17716
08015,CO,Jefferson County,81,150,11321
08015,CO,Denver County,107,139,13322
08015,CO,El Paso County,66,126,7076
08015,CO,Fremont County,47,75,1868
08015,CO,Arapahoe County,33,63,2683
08019,CO,Jefferson County,132,198,18991
08019,CO,Denver County,52,69,5007
08019,CO,Adams County,23,37,1638
08019,CO,Arapahoe County,23,27,953
08021,CO,Alamosa County,57,109,2053
08023,CO,Alamosa County,20,33,601
08025,CO,Otero County,23,34,960
08027,CO,El Paso County,53,96,6498
08027,CO,Fremont County,36,88,2085
08029,CO,Montrose County,167,331,7668
08029,CO,Mesa County,163,306,8068
08029,CO,Jefferson County,50,82,3469
08029,CO,Adams County,20,50,3333
08029,CO,Garfield County,32,47,1796
08031,CO,Arapahoe County,8000,11955,621927
08031,CO,Jefferson County,5271,7157,353148
08031,CO,Adams County,3546,5698,184571
08031,CO,Douglas County,1632,2161,137920
08031,CO,Boulder County,1500,1765,142890
08035,CO,Arapahoe County,4178,7592,511116
08035,CO,Denver County,2422,3695,309172
08035,CO,Jefferson County,1733,3021,270506
08035,CO,El Paso County,762,1275,69806
08035,CO,Adams County,549,972,52595
08037,CO,Denver County,181,265,44918
08037,CO,Garfield County,136,213,10456
08037,CO,Pitkin County,140,208,18169
08037,CO,Jefferson County,86,126,8892
08037,CO,Boulder County,61,83,8063
08039,CO,Douglas County,427,963,52918
08039,CO,Arapahoe County,256,572,26993
08039,CO,Jefferson County,96,185,9124
08039,CO,El Paso County,93,183,6152
08039,CO,Denver County,87,148,7253
08041,CO,Arapahoe County,913,1521,58515
08041,CO,Douglas County,802,1435,77931
08041,CO,Pueblo County,679,1131,36227
08041,AZ,Maricopa County,563,1090,43879
08041,CO,Denver County,743,1085,51341
08043,CO,El Paso County,303,533,15953
08043,CO,Pueblo County,167,266,7307
08043,CO,Chaffee County,90,139,4434
