zcta,total_pop,under18,over65,median_age
69168,288.0,84.0,68.0,38.8
80002,21270.0,3384.0,4296.0,36.4
80003,35976.0,7764.0,7441.0,37.4
80004,33700.0,5613.0,9601.0,43.2
80005,28459.0,5819.0,7497.0,42.7
80007,19078.0,4825.0,3742.0,40.7
80010,42439.0,11400.0,5586.0,32.0
80011,53695.0,13842.0,7163.0,32.0
80012,51052.0,12157.0,8285.0,34.0
80013,73248.0,17874.0,13771.0,36.6
80014,39496.0,5998.0,11831.0,40.9
80015,72316.0,16859.0,14353.0,39.5
80016,68268.0,18349.0,12373.0,39.9
80017,40584.0,10367.0,5683.0,32.9
80018,19072.0,5394.0,2268.0,34.3
80019,7900.0,1724.0,870.0,30.7
80020,54201.0,11230.0,11699.0,37.7
80021,36555.0,5161.0,7235.0,36.6
80022,61452.0,17704.0,9809.0,35.1
80023,27143.0,6909.0,5507.0,41.0
80024,33.0,0.0,33.0,
80025,138.0,0.0,31.0,40.9
80026,32701.0,6902.0,7491.0,40.0
80027,34127.0,8432.0,6593.0,40.3
80030,15427.0,3544.0,3268.0,34.4
80031,35584.0,6945.0,8760.0,39.5
80033,26485.0,4117.0,7093.0,42.4
80045,1676.0,27.0,281.0,31.5
80101,423.0,89.0,174.0,50.3
80102,6690.0,1841.0,1296.0,37.5
80103,3215.0,1029.0,390.0,32.0
80104,38479.0,8571.0,7686.0,38.2
80105,2182.0,499.0,705.0,45.8
80106,4455.0,619.0,1240.0,50.7
80107,15102.0,3353.0,3886.0,41.9
80108,36730.0,9288.0,7287.0,40.5
80109,28400.0,7745.0,4574.0,36.9
80110,23825.0,4195.0,4698.0,36.7
80111,31561.0,6972.0,7390.0,42.7
80112,36816.0,7469.0,6931.0,36.0
80113,22976.0,3914.0,5542.0,39.6
80116,5132.0,967.0,1824.0,52.2
80117,2756.0,575.0,916.0,49.7
80118,5632.0,760.0,1703.0,54.0
80120,29725.0,5431.0,8786.0,42.5
80121,18029.0,3516.0,6310.0,47.8
80122,32195.0,6876.0,8923.0,42.3
80123,44549.0,8677.0,12408.0,41.8
80124,22555.0,4171.0,4998.0,38.7
80125,15630.0,3494.0,2806.0,40.6
80126,44882.0,11481.0,8722.0,41.7
80127,43494.0,8954.0,11837.0,44.7
80128,36712.0,8222.0,8583.0,39.5
