zip,county_fips,county_name,county_res_ratio,cbsa_code,zori_now,zori_month,zori_year_ago,zhvi_now,zhvi_month,zhvi_year_ago
80001,08059,"Jefferson County, Colorado",1.0000,19740,,,,,,
80002,08059,"Jefferson County, Colorado",0.9680,19740,2154.07,2026-07-31,2119.92,555285.57,2026-07-31,567466.82
80003,08059,"Jefferson County, Colorado",0.8394,19740,1563.47,2026-07-31,1621.88,524124.93,2026-07-31,540735.75
80004,08059,"Jefferson County, Colorado",1.0000,19740,2009.38,2026-07-31,1980.47,597365.13,2026-07-31,612438.13
80005,08059,"Jefferson County, Colorado",1.0000,19740,2096.79,2026-07-31,2124.26,642797.09,2026-07-31,652135.22
80006,08059,"Jefferson County, Colorado",1.0000,19740,,,,,,
80007,08059,"Jefferson County, Colorado",1.0000,19740,3413.33,2026-07-31,,848802.10,2026-07-31,865729.99
80010,08001,"Adams County, Colorado",0.5070,19740,1501.86,2026-07-31,1516.09,395436.15,2026-07-31,411523.59
80011,08005,"Arapahoe County, Colorado",0.6569,19740,1614.51,2026-07-31,1663.81,406548.72,2026-07-31,418859.67
80012,08005,"Arapahoe County, Colorado",0.9907,19740,1497.56,2026-07-31,1534.88,391902.54,2026-07-31,409129.88
80013,08005,"Arapahoe County, Colorado",1.0000,19740,2027.24,2026-07-31,2025.91,465937.93,2026-07-31,479099.96
80014,08005,"Arapahoe County, Colorado",0.8925,19740,1701.40,2026-07-31,1685.74,349268.60,2026-07-31,370328.66
80015,08005,"Arapahoe County, Colorado",1.0000,19740,2740.53,2026-07-31,2724.66,546950.36,2026-07-31,558385.16
80016,08005,"Arapahoe County, Colorado",0.9296,19740,2039.94,2026-07-31,2069.67,739672.90,2026-07-31,748601.34
80017,08005,"Arapahoe County, Colorado",1.0000,19740,1598.00,2026-07-31,1649.32,404073.82,2026-07-31,417001.79
80018,08005,"Arapahoe County, Colorado",1.0000,19740,2841.22,2026-07-31,2740.68,541060.08,2026-07-31,553224.65
80019,08001,"Adams County, Colorado",0.9949,19740,2520.59,2026-07-31,2484.16,509998.50,2026-07-31,533035.26
80020,08014,"Broomfield County, Colorado",0.8023,19740,2140.60,2026-07-31,2140.55,572107.18,2026-07-31,577000.69
80021,08059,"Jefferson County, Colorado",0.5750,19740,1954.19,2026-07-31,1959.16,553454.27,2026-07-31,562454.61
80022,08001,"Adams County, Colorado",1.0000,19740,2248.80,2026-07-31,2204.36,473169.79,2026-07-31,492694.54
80023,08014,"Broomfield County, Colorado",0.7710,19740,2053.78,2026-07-31,2074.77,823007.46,2026-07-31,825269.32
80024,08001,"Adams County, Colorado",1.0000,19740,,,,,,
80025,08013,"Boulder County, Colorado",1.0000,14500,,,,,,
80026,08013,"Boulder County, Colorado",0.9999,14500,2220.46,2026-07-31,2227.76,671260.22,2026-07-31,685472.06
80027,08013,"Boulder County, Colorado",0.9999,14500,2490.79,2026-07-31,2437.39,827432.57,2026-07-31,836417.88
80030,08001,"Adams County, Colorado",1.0000,19740,1226.31,2026-07-31,1245.93,439832.89,2026-07-31,453470.45
80031,08001,"Adams County, Colorado",0.8974,19740,2249.61,2026-07-31,2222.10,504377.36,2026-07-31,517251.13
80033,08059,"Jefferson County, Colorado",1.0000,19740,1904.20,2026-07-31,1908.92,589731.55,2026-07-31,604711.39
80034,08059,"Jefferson County, Colorado",1.0000,19740,,,,,,
80035,08001,"Adams County, Colorado",1.0000,19740,,,,,,
80036,08001,"Adams County, Colorado",1.0000,19740,,,,,,
80037,08001,"Adams County, Colorado",1.0000,19740,,,,,,
80038,08014,"Broomfield County, Colorado",1.0000,19740,,,,,,
80040,08001,"Adams County, Colorado",1.0000,19740,,,,,,
80041,08005,"Arapahoe County, Colorado",1.0000,19740,,,,,,
80042,08001,"Adams County, Colorado",1.0000,19740,,,,,,
80044,08005,"Arapahoe County, Colorado",1.0000,19740,,,,,,
80045,08001,"Adams County, Colorado",0.9902,19740,1735.55,2026-07-31,1781.21,,,
80046,08005,"Arapahoe County, Colorado",1.0000,19740,,,,,,
80047,08005,"Arapahoe County, Colorado",1.0000,19740,,,,,,
80101,08039,"Elbert County, Colorado",1.0000,19740,,,,498857.84,2026-07-31,499196.19
80102,08001,"Adams County, Colorado",0.7814,19740,,,,520934.80,2026-07-31,531893.09
80103,08005,"Arapahoe County, Colorado",0.7403,19740,,,,558912.19,2026-07-31,563275.69
80104,08035,"Douglas County, Colorado",1.0000,19740,2410.55,2026-07-31,2385.76,610074.63,2026-07-31,617272.92
80105,08005,"Arapahoe County, Colorado",0.7149,19740,,,,387487.84,2026-07-31,396355.32
80106,08041,"El Paso County, Colorado",0.6069,17820,,,,737889.04,2026-07-31,751116.60
80107,08039,"Elbert County, Colorado",1.0000,19740,,,,669445.55,2026-07-31,694115.71
80108,08035,"Douglas County, Colorado",1.0000,19740,2445.74,2026-07-31,2401.79,867001.86,2026-07-31,877824.23
80109,08035,"Douglas County, Colorado",1.0000,19740,2764.13,2026-07-31,2657.54,655792.07,2026-07-31,667734.71
80110,08005,"Arapahoe County, Colorado",0.9528,19740,1681.57,2026-07-31,1721.02,490111.36,2026-07-31,497815.94
80111,08005,"Arapahoe County, Colorado",0.9826,19740,1998.49,2026-07-31,2021.48,897439.41,2026-07-31,910812.38
80112,08005,"Arapahoe County, Colorado",0.8098,19740,2006.83,2026-07-31,2012.65,606285.02,2026-07-31,625410.04
80113,08005,"Arapahoe County, Colorado",0.9999,19740,1908.54,2026-07-31,1979.76,633363.96,2026-07-31,650971.96
80116,08035,"Douglas County, Colorado",0.9977,19740,,,,1059463.46,2026-07-31,1063577.87
80117,08039,"Elbert County, Colorado",1.0000,19740,,,,700845.27,2026-07-31,686788.01
80118,08035,"Douglas County, Colorado",0.9963,19740,,,,947908.77,2026-07-31,964423.90
80120,08005,"Arapahoe County, Colorado",1.0000,19740,1890.20,2026-07-31,1913.17,602883.22,2026-07-31,614485.52
80121,08005,"Arapahoe County, Colorado",1.0000,19740,2417.61,2026-07-31,2388.79,690461.55,2026-07-31,705679.39
80122,08005,"Arapahoe County, Colorado",1.0000,19740,2386.18,2026-07-31,2390.93,629155.92,2026-07-31,638292.63
80123,08059,"Jefferson County, Colorado",0.3713,19740,1974.82,2026-07-31,1987.15,594822.23,2026-07-31,607378.96
80124,08035,"Douglas County, Colorado",1.0000,19740,1994.39,2026-07-31,2016.47,790754.53,2026-07-31,814533.28
80125,08035,"Douglas County, Colorado",1.0000,19740,2778.83,2026-07-31,2790.95,723561.45,2026-07-31,745303.02
80126,08035,"Douglas County, Colorado",0.9940,19740,2978.52,2026-07-31,2972.52,741904.41,2026-07-31,761195.33
80127,08059,"Jefferson County, Colorado",1.0000,19740,2124.41,2026-07-31,2133.05,670030.09,2026-07-31,682739.96
80128,08059,"Jefferson County, Colorado",0.9118,19740,2199.24,2026-07-31,2191.25,591430.67,2026-07-31,605812.05
80129,08035,"Douglas County, Colorado",1.0000,19740,2303.41,2026-07-31,2314.94,670756.66,2026-07-31,687327.99
80130,08035,"Douglas County, Colorado",1.0000,19740,2782.10,2026-07-31,2739.22,683168.32,2026-07-31,698359.36
80131,08035,"Douglas County, Colorado",1.0000,19740,,,,533996.63,2026-07-31,539343.25
80132,08041,"El Paso County, Colorado",1.0000,17820,2357.86,2026-07-31,2354.57,753562.66,2026-07-31,762810.40
